,date,S351_S_FLOW_cmd
0,1990-01-02,0.0
1,1990-01-03,0.0
2,1990-01-04,0.0
3,1990-01-05,0.0
4,1990-01-06,0.0
5,1990-01-07,0.0
6,1990-01-08,0.0
7,1990-01-09,0.0
8,1990-01-10,1769534.695329
9,1990-01-11,2900292.98129021
10,1990-01-12,2849135.08661833
11,1990-01-13,3471592.83709271
12,1990-01-14,2924709.80524168
13,1990-01-15,3014939.51138701
14,1990-01-16,3258569.50428159
15,1990-01-17,2933297.28540899
16,1990-01-18,2655292.90608973
17,1990-01-19,2669434.112747
18,1990-01-20,2595107.14765223
19,1990-01-21,2761718.94235117
20,1990-01-22,2876903.71906815
21,1990-01-23,2371832.66330237
22,1990-01-24,0.0
23,1990-01-25,0.0
24,1990-01-26,0.0
25,1990-01-27,0.0
26,1990-01-28,1631792.49207569
27,1990-01-29,1164839.08332033
28,1990-01-30,2016296.30492277
29,1990-01-31,2080518.91301157
30,1990-02-01,2090085.02339737
31,1990-02-02,2230689.72003978
32,1990-02-03,2230885.44608348
33,1990-02-04,2261736.76372157
34,1990-02-05,2905357.39267093
35,1990-02-06,2697055.95066405
36,1990-02-07,2949909.53336796
37,1990-02-08,3173159.55196236
38,1990-02-09,3238360.79026965
39,1990-02-10,3089168.61345994
40,1990-02-11,2178284.07183932
41,1990-02-12,0.0
42,1990-02-13,1397581.81503414
43,1990-02-14,2837734.04457285
44,1990-02-15,2892268.21349854
45,1990-02-16,2999085.70184738
46,1990-02-17,3194542.62223649
47,1990-02-18,3196475.41691802
48,1990-02-19,3347845.04596389
49,1990-02-20,3440325.60161176
50,1990-02-21,966054.820188327
51,1990-02-22,0.0
52,1990-02-23,574358.075235302
53,1990-02-24,1913564.59773615
54,1990-02-25,2218310.04777581
55,1990-02-26,2290655.28667813
56,1990-02-27,2149096.42557268
57,1990-02-28,2753033.59916202
58,1990-03-01,3112362.14963829
59,1990-03-02,3042903.86988054
60,1990-03-03,2589431.09238495
61,1990-03-04,2630582.49307271
62,1990-03-05,2788998.25969175
63,1990-03-06,3009875.1000063
64,1990-03-07,2930410.32626442
65,1990-03-08,2767517.32639576
66,1990-03-09,3097853.95664909
67,1990-03-10,3049216.03478984
68,1990-03-11,3118821.10908036
69,1990-03-12,3846457.1422876
70,1990-03-13,3761512.03932215
71,1990-03-14,3972969.56378367
72,1990-03-15,3657287.92105233
73,1990-03-16,4455018.34365934
74,1990-03-17,3718036.39186547
75,1990-03-18,4082869.73732077
76,1990-03-19,3671331.26468774
77,1990-03-20,3495398.01715763
78,1990-03-21,3036787.43101494
79,1990-03-22,3019930.52550134
80,1990-03-23,3344737.89502017
81,1990-03-24,3305103.37117108
82,1990-03-25,3394256.58407606
83,1990-03-26,4757317.21815276
84,1990-03-27,3805158.94706707
85,1990-03-28,4459862.5632409
86,1990-03-29,4779116.20626975
87,1990-03-30,4611892.76768425
88,1990-03-31,4168353.0869064
89,1990-04-01,3239975.53013017
90,1990-04-02,4014903.86864623
91,1990-04-03,2867729.06076975
92,1990-04-04,3813330.50939151
93,1990-04-05,4282730.49369312
94,1990-04-06,4441831.30146511
95,1990-04-07,4387248.20102849
96,1990-04-08,4628431.61837683
97,1990-04-09,5147056.70266879
98,1990-04-10,5024825.78837864
99,1990-04-11,5480843.00444231
100,1990-04-12,4849944.5683334
101,1990-04-13,5312543.07261646
102,1990-04-14,3801219.96043763
103,1990-04-15,3972186.65960888
104,1990-04-16,2943964.35479059
105,1990-04-17,1988992.52182673
106,1990-04-18,1900891.33640663
107,1990-04-19,0.0
108,1990-04-20,2999330.359402
109,1990-04-21,1506454.42684182
110,1990-04-22,0.0
111,1990-04-23,3028909.45775604
112,1990-04-24,1404848.14440647
113,1990-04-25,2785206.06759508
114,1990-04-26,6517163.47431865
115,1990-04-27,0.0
116,1990-04-28,0.0
117,1990-04-29,0.0
118,1990-04-30,1184338.29042386
119,1990-05-01,503700.973459891
120,1990-05-02,370191.345901574
121,1990-05-03,629210.298982003
122,1990-05-04,1106879.7086299
123,1990-05-05,0.0
124,1990-05-06,0.0
125,1990-05-07,1488814.61715343
126,1990-05-08,1184142.56438016
127,1990-05-09,780066.147163162
128,1990-05-10,0.0
129,1990-05-11,0.0
130,1990-05-12,0.0
131,1990-05-13,0.0
132,1990-05-14,246370.157506368
133,1990-05-15,0.0
134,1990-05-16,804385.108092787
135,1990-05-17,869537.414889159
136,1990-05-18,815932.94467104
137,1990-05-19,0.0
138,1990-05-20,581355.281297549
139,1990-05-21,994679.754079334
140,1990-05-22,615900.928010458
141,1990-05-23,1023157.89343757
142,1990-05-24,863298.647246246
143,1990-05-25,1370791.81280281
144,1990-05-26,0.0
145,1990-05-27,0.0
146,1990-05-28,0.0
147,1990-05-29,0.0
148,1990-05-30,0.0
149,1990-05-31,-1612635.80554863
150,1990-06-01,-2247840.21461893
151,1990-06-02,-344379.973888742
152,1990-06-03,873769.990584154
153,1990-06-04,-2380518.00649152
154,1990-06-05,-2676700.44211933
155,1990-06-06,-165731.027502298
156,1990-06-07,0.0
157,1990-06-08,-1153144.4522093
158,1990-06-09,-2195189.90886384
159,1990-06-10,-978018.57460944
160,1990-06-11,179162.727251155
161,1990-06-12,0.0
162,1990-06-13,0.0
163,1990-06-14,618983.61319872
164,1990-06-15,1057972.66346056
