,date,S48_S_FLOW_cmd
0,2000-01-02,13382.7682379328
1,2000-01-03,22508.495025408
2,2000-01-04,16025.069827872
3,2000-01-05,14948.5765875264
4,2000-01-06,12037.1516875008
5,2000-01-07,12722.192840448
6,2000-01-08,14606.0560110528
7,2000-01-09,15853.8095396352
8,2000-01-10,12208.4119757376
9,2000-01-11,11743.562621952
10,2000-01-12,6116.4388656
11,2000-01-13,6238.767642912
12,2000-01-14,7535.4526824192
13,2000-01-15,8954.4664992384
14,2000-01-16,11156.3844908544
15,2000-01-17,9125.7267874752
16,2000-01-18,3841.1236075968
17,2000-01-19,1981.7261924544
18,2000-01-20,3400.7400092736
19,2000-01-21,24.4657554624
20,2000-01-22,1467.945327744
21,2000-01-23,3498.6030311232
22,2000-01-24,14948.5765875264
23,2000-01-25,5455.8634681152
24,2000-01-26,4770.822315168
25,2000-01-27,4305.9729613824
26,2000-01-28,5284.6031798784
27,2000-01-29,3620.9318084352
28,2000-01-30,6654.6854857728
29,2000-01-31,9296.987075712
30,2000-02-01,9223.5898093248
31,2000-02-02,10593.6721152192
32,2000-02-03,12697.7270849856
33,2000-02-04,11327.6447790912
34,2000-02-05,9982.0282286592
35,2000-02-06,8807.671966464
36,2000-02-07,7535.4526824192
37,2000-02-08,11792.4941328768
38,2000-02-09,14801.782054752
39,2000-02-10,9590.5761412608
40,2000-02-11,11229.7817572416
41,2000-02-12,11816.9598883392
42,2000-02-13,10030.959739584
43,2000-02-14,8024.7677916672
44,2000-02-15,8147.0965689792
45,2000-02-16,11303.1790236288
46,2000-02-17,10446.8775824448
47,2000-02-18,8391.7541236032
48,2000-02-19,7731.1787261184
49,2000-02-20,9859.6994513472
50,2000-02-21,11131.918735392
51,2000-02-22,4942.0826034048
52,2000-02-23,3938.9866294464
53,2000-02-24,7926.9047698176
54,2000-02-25,10397.94607152
55,2000-02-26,10471.3433379072
56,2000-02-27,11278.7132681664
57,2000-02-28,11327.6447790912
58,2000-02-29,14067.80939088
59,2000-03-01,5798.3840445888
60,2000-03-02,4330.4387168448
61,2000-03-03,2177.4522361536
62,2000-03-04,1419.0138168192
63,2000-03-05,195.7260436992
64,2000-03-06,318.0548210112
65,2000-03-07,244.657554624
66,2000-03-08,48.9315109248
67,2000-03-09,244.657554624
68,2000-03-10,97.8630218496
69,2000-03-11,3694.3290748224
70,2000-03-12,5455.8634681152
71,2000-03-13,5945.1785773632
72,2000-03-14,5406.9319571904
73,2000-03-15,1492.4110832064
74,2000-03-16,1688.1371269056
75,2000-03-17,4868.6853370176
76,2000-03-18,6605.753974848
77,2000-03-19,13309.3709715456
78,2000-03-20,10691.5351370688
79,2000-03-21,4795.2880706304
80,2000-03-22,5235.6716689536
81,2000-03-23,5162.2744025664
82,2000-03-24,6752.5485076224
83,2000-03-25,9908.630962272
84,2000-03-26,6312.1649092992
85,2000-03-27,2495.5070571648
86,2000-03-28,2886.9591445632
87,2000-03-29,5186.7401580288
88,2000-03-30,1957.260436992
89,2000-03-31,1663.6713714432
90,2000-04-01,4061.3154067584
91,2000-04-02,2617.8358344768
92,2000-04-03,611.64388656
93,2000-04-04,220.1917991616
94,2000-04-05,0.0
95,2000-04-06,0.0
96,2000-04-07,0.0
97,2000-04-08,0.0
98,2000-04-09,0.0
99,2000-04-10,0.0
100,2000-04-11,0.0
101,2000-04-12,0.0
102,2000-04-13,0.0
103,2000-04-14,4550.6305160064
104,2000-04-15,7266.3293723328
105,2000-04-16,6507.8909529984
106,2000-04-17,8685.343189152
107,2000-04-18,1165842.17929428
108,2000-04-19,17346.2206228416
109,2000-04-20,72271.8416359296
110,2000-04-21,652208.109116659
111,2000-04-22,22753.152580032
112,2000-04-23,2030.6577033792
113,2000-04-24,6874.8772849344
114,2000-04-25,2519.9728126272
115,2000-04-26,171.2602882368
116,2000-04-27,415.9178428608
117,2000-04-28,293.5890655488
118,2000-04-29,24.4657554624
119,2000-04-30,24.4657554624
120,2000-05-01,0.0
121,2000-05-02,0.0
122,2000-05-03,0.0
123,2000-05-04,0.0
124,2000-05-05,0.0
125,2000-05-06,0.0
126,2000-05-07,0.0
127,2000-05-08,0.0
128,2000-05-09,0.0
129,2000-05-10,0.0
130,2000-05-11,0.0
131,2000-05-12,0.0
132,2000-05-13,0.0
133,2000-05-14,0.0
134,2000-05-15,0.0
135,2000-05-16,0.0
136,2000-05-17,0.0
137,2000-05-18,0.0
138,2000-05-19,0.0
139,2000-05-20,0.0
140,2000-05-21,0.0
141,2000-05-22,0.0
142,2000-05-23,0.0
143,2000-05-24,0.0
144,2000-05-25,0.0
145,2000-05-26,0.0
146,2000-05-27,0.0
147,2000-05-28,0.0
148,2000-05-29,0.0
149,2000-05-30,0.0
150,2000-05-31,0.0
151,2000-06-01,0.0
152,2000-06-02,0.0
153,2000-06-03,0.0
154,2000-06-04,0.0
155,2000-06-05,0.0
156,2000-06-06,0.0
157,2000-06-07,0.0
158,2000-06-08,0.0
159,2000-06-09,0.0
160,2000-06-10,0.0
161,2000-06-11,0.0
162,2000-06-12,0.0
163,2000-06-13,0.0
164,2000-06-14,0.0
165,2000-06-15,0.0
166,2000-06-16,0.0
167,2000-06-17,0.0
168,2000-06-18,0.0
169,2000-06-19,0.0
170,2000-06-20,0.0
171,2000-06-21,0.0
172,2000-06-22,0.0
173,2000-06-23,0.0
174,2000-06-24,0.0
175,2000-06-25,0.0
176,2000-06-26,0.0
177,2000-06-27,4526.164760544
178,2000-06-28,6703.6169966976
179,2000-06-29,6140.9046210624
180,2000-06-30,5309.0689353408
181,2000-07-01,6434.4936866112
182,2000-07-02,17737.67271024
183,2000-07-03,13064.7134169216
184,2000-07-04,11229.7817572416
185,2000-07-05,11229.7817572416
186,2000-07-06,13651.8915480192
187,2000-07-07,15291.097164
188,2000-07-08,373616.55166631
189,2000-07-09,1268329.22892628
190,2000-07-10,133387.298781005
191,2000-07-11,705029.675159981
192,2000-07-12,676624.933068134
193,2000-07-13,573697.499837818
194,2000-07-14,723403.457512243
195,2000-07-15,795039.18950615
196,2000-07-16,17688.7411993152
197,2000-07-17,13333.836727008
198,2000-07-18,464457.901698202
199,2000-07-19,533108.811525696
