,date,S71_S_FLOW_cmd
0,1990-01-02,496116.589266547
1,1990-01-03,291191.421513485
2,1990-01-04,256865.966599738
3,1990-01-05,636109.6420224
4,1990-01-06,338752.85013239
5,1990-01-07,438034.88579881
6,1990-01-08,623754.435513888
7,1990-01-09,359671.071052742
8,1990-01-10,862907.195158848
9,1990-01-11,294567.695767296
10,1990-01-12,279986.105511706
11,1990-01-13,321920.410374259
12,1990-01-14,0.0
13,1990-01-15,634078.984319021
14,1990-01-16,1983854.71317963
15,1990-01-17,0.0
16,1990-01-18,436713.73500384
17,1990-01-19,0.0
18,1990-01-20,0.0
19,1990-01-21,0.0
20,1990-01-22,0.0
21,1990-01-23,0.0
22,1990-01-24,0.0
23,1990-01-25,0.0
24,1990-01-26,0.0
25,1990-01-27,0.0
26,1990-01-28,307167.559830432
27,1990-01-29,0.0
28,1990-01-30,273233.557004083
29,1990-01-31,0.0
30,1990-02-01,0.0
31,1990-02-02,275704.598305786
32,1990-02-03,261661.254670368
33,1990-02-04,193817.714773133
34,1990-02-05,275190.817441075
35,1990-02-06,0.0
36,1990-02-07,0.0
37,1990-02-08,213365.85338759
38,1990-02-09,245685.116353421
39,1990-02-10,0.0
40,1990-02-11,1421093.4060335
41,1990-02-12,0.0
42,1990-02-13,509939.741102803
43,1990-02-14,262811.145177101
44,1990-02-15,126634.750273382
45,1990-02-16,207176.017255603
46,1990-02-17,313381.861717882
47,1990-02-18,288426.791146234
48,1990-02-19,515591.330614618
49,1990-02-20,413471.26731456
50,1990-02-21,0.0
51,1990-02-22,245146.869733248
52,1990-02-23,683817.86517408
53,1990-02-24,712662.99086425
54,1990-02-25,623558.709470189
55,1990-02-26,242088.650300448
56,1990-02-27,636794.683175347
57,1990-02-28,230173.827390259
58,1990-03-01,229586.649259162
59,1990-03-02,260560.29567456
60,1990-03-03,444028.995887098
61,1990-03-04,359475.345009043
62,1990-03-05,210283.168199328
63,1990-03-06,232449.142648262
64,1990-03-07,260437.966897248
65,1990-03-08,0.0
66,1990-03-09,481168.012679021
67,1990-03-10,597453.748391808
68,1990-03-11,421202.446040678
69,1990-03-12,387929.018611814
70,1990-03-13,186355.659357101
71,1990-03-14,544387.524793862
72,1990-03-15,310494.902573318
73,1990-03-16,186820.508710886
74,1990-03-17,594371.063203546
75,1990-03-18,229390.923215462
76,1990-03-19,575434.568475648
77,1990-03-20,264376.953526694
78,1990-03-21,417777.240275942
79,1990-03-22,0.0
80,1990-03-23,0.0
81,1990-03-24,469938.230921779
82,1990-03-25,0.0
83,1990-03-26,581281.884031162
84,1990-03-27,0.0
85,1990-03-28,277074.68061168
86,1990-03-29,166734.123476256
87,1990-03-30,0.0
88,1990-03-31,291754.13388912
89,1990-04-01,290090.462517677
90,1990-04-02,0.0
91,1990-04-03,0.0
92,1990-04-04,367279.921001549
93,1990-04-05,0.0
94,1990-04-06,0.0
95,1990-04-07,0.0
96,1990-04-08,0.0
97,1990-04-09,480752.09483616
98,1990-04-10,0.0
99,1990-04-11,0.0
100,1990-04-12,0.0
101,1990-04-13,0.0
102,1990-04-14,0.0
103,1990-04-15,0.0
104,1990-04-16,0.0
105,1990-04-17,0.0
106,1990-04-18,0.0
107,1990-04-19,0.0
108,1990-04-20,0.0
109,1990-04-21,0.0
110,1990-04-22,0.0
111,1990-04-23,0.0
112,1990-04-24,0.0
113,1990-04-25,0.0
114,1990-04-26,0.0
115,1990-04-27,0.0
116,1990-04-28,0.0
117,1990-04-29,0.0
118,1990-04-30,0.0
119,1990-05-01,0.0
120,1990-05-02,0.0
121,1990-05-03,0.0
122,1990-05-04,0.0
123,1990-05-05,0.0
124,1990-05-06,0.0
125,1990-05-07,0.0
126,1990-05-08,0.0
127,1990-05-09,0.0
128,1990-05-10,0.0
129,1990-05-11,0.0
130,1990-05-12,0.0
131,1990-05-13,0.0
132,1990-05-14,0.0
133,1990-05-15,0.0
134,1990-05-16,0.0
135,1990-05-17,0.0
136,1990-05-18,0.0
137,1990-05-19,0.0
138,1990-05-20,0.0
139,1990-05-21,0.0
140,1990-05-22,0.0
141,1990-05-23,0.0
142,1990-05-24,0.0
143,1990-05-25,0.0
144,1990-05-26,0.0
145,1990-05-27,210772.483308576
146,1990-05-28,128053.764090202
147,1990-05-29,0.0
148,1990-05-30,0.0
149,1990-05-31,0.0
150,1990-06-01,1148080.04082858
151,1990-06-02,939436.078245235
152,1990-06-03,350080.494911482
153,1990-06-04,426071.131377696
154,1990-06-05,244853.280667699
155,1990-06-06,381445.593414278
156,1990-06-07,233134.18380121
157,1990-06-08,402950.992465728
158,1990-06-09,226088.046228038
159,1990-06-10,0.0
160,1990-06-11,240645.170728166
161,1990-06-12,422988.446189434
162,1990-06-13,0.0
163,1990-06-14,0.0
164,1990-06-15,0.0
165,1990-06-16,0.0
166,1990-06-17,0.0
167,1990-06-18,0.0
168,1990-06-19,0.0
169,1990-06-20,0.0
170,1990-06-21,0.0
171,1990-06-22,521683.303724755
172,1990-06-23,1554921.08841283
173,1990-06-24,1446806.91502449
174,1990-06-25,656660.876610816
175,1990-06-26,610934.37965159
176,1990-06-27,2170406.09858043
177,1990-06-28,1827224.94670934
178,1990-06-29,1342215.81042273
179,1990-06-30,1328686.24765202
180,1990-07-01,956953.559156314
181,1990-07-02,1622960.35435377
182,1990-07-03,1926335.72208753
183,1990-07-04,1744212.63842542
184,1990-07-05,954678.24389831
185,1990-07-06,1109840.06504085
186,1990-07-07,1650215.20593888
187,1990-07-08,1388823.0745786
188,1990-07-09,932267.611894752
189,1990-07-10,1122684.58665861
190,1990-07-11,640317.751961933
191,1990-07-12,319571.697849869
192,1990-07-13,2845049.30545611
193,1990-07-14,3859864.376281
194,1990-07-15,4738087.13435931
195,1990-07-16,4201406.3225361
196,1990-07-17,3758576.14866666
197,1990-07-18,3324945.09885109
198,1990-07-19,2297481.23245213
199,1990-07-20,1936831.5311809
200,1990-07-21,1941602.35349606
201,1990-07-22,1583007.77568367
202,1990-07-23,1658704.82308433
203,1990-07-24,1733007.32242364
204,1990-07-25,1628807.66990928
205,1990-07-26,1563924.486423
206,1990-07-27,984453.068296051
207,1990-07-28,650128.519902355
208,1990-07-29,934665.255930067
209,1990-07-30,730987.841705587
210,1990-07-31,0.0
211,1990-08-01,341321.754455942
212,1990-08-02,0.0
213,1990-08-03,399525.786700992
214,1990-08-04,955265.422029408
215,1990-08-05,1824778.3711631
216,1990-08-06,1300844.21793581
217,1990-08-07,857622.59197897
218,1990-08-08,543041.90824343
219,1990-08-09,744077.020877971
220,1990-08-10,1715734.49906719
221,1990-08-11,1847555.9894986
222,1990-08-12,2585834.62633198
223,1990-08-13,2794649.84920357
224,1990-08-14,3458674.91820856
225,1990-08-15,3322596.38632669
226,1990-08-16,2667476.85231001
227,1990-08-17,2441315.40881558
228,1990-08-18,2480460.61755542
229,1990-08-19,2593908.32563457
230,1990-08-20,2425534.99654234
231,1990-08-21,2405742.20037325
232,1990-08-22,2250825.03678534
233,1990-08-23,1853280.9762768
234,1990-08-24,2037214.52584312
235,1990-08-25,1835225.24874555
236,1990-08-26,1670081.39937435
237,1990-08-27,1263313.74905649
238,1990-08-28,1220229.5536872
239,1990-08-29,1961126.02635506
240,1990-08-30,2065937.32275598
241,1990-08-31,1366045.4562431
242,1990-09-01,1180815.22163727
243,1990-09-02,1067269.65053628
244,1990-09-03,1196350.9763559
245,1990-09-04,264279.090504845
246,1990-09-05,551678.319921658
247,1990-09-06,588474.816137107
248,1990-09-07,0.0
249,1990-09-08,475320.697123507
250,1990-09-09,0.0
251,1990-09-10,230516.347966733
252,1990-09-11,0.0
253,1990-09-12,534258.702032429
254,1990-09-13,0.0
255,1990-09-14,282824.133145344
256,1990-09-15,0.0
257,1990-09-16,283900.62638569
258,1990-09-17,284977.119626035
259,1990-09-18,171602.808813274
260,1990-09-19,543506.757597216
261,1990-09-20,0.0
262,1990-09-21,278591.557450349
263,1990-09-22,0.0
264,1990-09-23,0.0
265,1990-09-24,0.0
266,1990-09-25,280915.804219277
267,1990-09-26,0.0
