date,ensemble_01_m^3/d,ensemble_10_m^3/d,ensemble_11_m^3/d,ensemble_12_m^3/d,ensemble_13_m^3/d,ensemble_14_m^3/d,ensemble_15_m^3/d,ensemble_16_m^3/d,ensemble_17_m^3/d,ensemble_18_m^3/d,ensemble_19_m^3/d,ensemble_02_m^3/d,ensemble_20_m^3/d,ensemble_21_m^3/d,ensemble_22_m^3/d,ensemble_23_m^3/d,ensemble_24_m^3/d,ensemble_25_m^3/d,ensemble_26_m^3/d,ensemble_27_m^3/d,ensemble_28_m^3/d,ensemble_29_m^3/d,ensemble_03_m^3/d,ensemble_30_m^3/d,ensemble_31_m^3/d,ensemble_32_m^3/d,ensemble_33_m^3/d,ensemble_34_m^3/d,ensemble_35_m^3/d,ensemble_36_m^3/d,ensemble_37_m^3/d,ensemble_38_m^3/d,ensemble_39_m^3/d,ensemble_04_m^3/d,ensemble_40_m^3/d,ensemble_41_m^3/d,ensemble_42_m^3/d,ensemble_43_m^3/d,ensemble_44_m^3/d,ensemble_45_m^3/d,ensemble_46_m^3/d,ensemble_47_m^3/d,ensemble_48_m^3/d,ensemble_49_m^3/d,ensemble_05_m^3/d,ensemble_50_m^3/d,ensemble_51_m^3/d,ensemble_06_m^3/d,ensemble_07_m^3/d,ensemble_08_m^3/d,ensemble_09_m^3/d,flow_max_m^3/d,flow_75%_m^3/d,flow_avg_m^3/d,flow_25%_m^3/d,flow_min_m^3/d
2025-03-01,882026.7768000001,882133.4106,882163.1754,883530.2555999999,882638.9315999999,882824.508,883313.7480000001,888187.059,882583.3278000001,882547.6608,882538.2324000001,882350.8524,882538.3998000001,882332.2223999999,882206.3754,882915.6816,884816.19,883953.9287999999,884821.6764,882288.7308,881960.9076,882658.8792000001,882632.3868,882140.3118,882875.8134000001,882122.4809999999,881641.152,883634.3082,882480.1931999999,882503.6076,884566.9151999999,884534.4612,882662.7780000002,882682.9146,881692.5708000001,883341.4500000001,885692.0915999999,882867.6000000001,881718.9012,885481.5888,884370.3012,883519.5528000001,882278.5896000001,882843.2028000001,882686.9268,882410.2956000001,882360.6696,883967.9687999999,882297.0791999999,884154.5226,882209.8908,1016334.7776000001,883637.9801999999,7064423.380799999,882265.0356000001,757448.712
2025-03-02,684604.58472,687122.3671200001,693011.56608,695931.3341999999,677618.919,718502.9724,691817.07744,783989.3178000001,640864.683,681846.25932,675069.8641199999,683966.13516,673874.667,684425.8025999999,688004.9085599999,687316.1083199999,745649.0316,710546.391,719599.248,692079.53364,707155.08192,676686.42432,670436.17272,683664.96744,694166.5461599999,700979.31576,708924.66408,699525.801,694199.72916,679374.67284,699329.916,714968.3538,674623.80792,669690.49644,679679.2328400001,685679.69124,711647.721,683458.40556,689030.118,740383.578,706359.83796,699356.02932,680197.9881600001,700489.3932,683148.22308,676948.0014,679907.42496,700114.1039999999,666860.121,694071.6984,696404.0858400001,804799.2384000001,700681.07268,5547184.6896,680841.06876,574423.97184
2025-03-03,623232.65376,631260.2322,642714.65604,669075.5952,600905.43468,716823.0864,636414.9037200001,829206.504,527423.8104,607119.63912,602077.7012400001,617275.73016,599287.96296,622001.37816,627487.9930799999,632682.77364,749915.7876,687539.62944,696350.5092,636023.96532,690046.82892,621184.19076,585217.818,617304.38148,652953.73752,669445.97688,666648.32868,664910.64648,663855.7510800001,605561.73912,669627.40716,701050.1886,601505.17812,600180.67044,616038.16788,629994.65904,680948.60004,621533.73276,632851.18884,718258.5738,676498.8348000001,659524.1929200001,618340.83912,662271.34248,630565.26192,606555.8067600001,610982.31852,672748.34364,581918.20956,635691.6028799999,653293.09836,838493.8559999999,669961.20276,5156443.37664,615311.91648,496302.4224
2025-03-04,607568.99688,622767.69216,638131.30452,667388.6028,582039.89424,724029.8832,602940.9765600001,844618.2174,463833.46656,577595.71476,598537.82088,600612.34644,578885.81904,601595.89056,612729.9259200001,624476.33748,759171.1986,692500.0554,704781.2592,630231.32592,681117.1275599999,614918.6960400001,545796.25956,598409.3646,649394.2810800001,658943.43804,653591.96784,671191.20612,686918.8044,571154.28264,663197.91768,696061.64484,601522.9333200001,624275.82792,605170.36116,622593.50652,667449.66708,616375.61604,620624.74428,707024.484,661326.14592,665778.21804,609484.56372,661972.46004,635464.77156,585496.46988,591390.49536,685492.22592,542912.7718799999,619099.75188,658709.07696,847949.1264,666753.6438,5083497.3168,601267.26168,441363.25440000003
2025-03-05,600761.1996,624248.06436,641360.29608,663804.1314000001,579165.9786,726174.3312,585661.6677600001,841283.5985999999,423117.7862399999,562413.86748,614140.83684,598667.5861199999,571050.23112,595747.00368,594295.6165199999,619754.50836,750945.1464,696248.8596000001,709603.524,632973.8304,659686.6098,616422.5226,531623.22624,596570.97456,642262.3941599999,653084.3084399999,652690.16892,675085.56732,713055.96,550505.34684,655562.4267600001,682423.09488,612858.50208,656564.2066800001,597917.2248,632888.3192400001,655269.92712,622352.44944,625830.2006399999,697830.8544,648484.4286,661340.49048,612397.20276,656293.64832,626642.4697199999,577242.56556,586922.4068400001,681737.8165200001,530520.63804,611079.47424,653652.0331199999,846467.7119999999,660086.1828000001,5052268.97856,597219.97464,413488.80000000005
2025-03-06,597810.16656,631034.93664,640312.72632,661460.67288,580269.98052,736025.8104,584649.69588,888799.986,405767.47716000007,555433.68384,676814.98428,603402.56532,567057.17304,819552.4488,591407.48808,646810.69536,766686.0276,795030.1794,695453.2505999999,645029.78292,649200.26772,634291.41744,529195.02336,591399.1548,746842.62384,657956.13984,660113.5100400001,676158.3216,724981.6656,1176390.52164,648908.8685999999,668658.0790799999,630723.2864399999,675653.7628799999,594898.94664,628522.71084,654468.32736,622301.37192,672464.42352,719446.833,643344.23124,699877.5192,608766.22008,1623930.66,620285.55516,575020.43532,585644.24412,707020.45344,527871.69288,611848.7928,657853.4988000001,4389379.632,690056.35884,5413779.97056,601032.90492,402517.46880000003
2025-03-07,595401.1963199999,640810.16784,660843.87192,665854.0956,599478.0192,756672.7535999999,701153.0424,992795.6699999999,406367.57592,562797.99216,834499.8432,609678.71208,595424.0966399999,950743.6344000001,591874.64856,688980.4142400001,936451.9728000001,1015574.0904000001,698994.9324,707126.2632,643093.90992,713832.9552,539426.80944,598483.37808,1605273.0984,658767.95208,698860.2024000001,679942.36512,727849.1952,1225394.4384,649953.67032,662542.9992,654239.4731999999,668359.17936,605190.3746399999,649076.13144,654535.92024,675891.0432000001,812657.4048,825376.7808000001,652849.2734399999,784636.092,654777.3823200001,3752330.94,649022.68872,590144.98968,606298.1349599999,790048.8144,569308.48704,615758.82696,686962.54008,4689351.36,746080.6752,3099012.48,616030.15104,403944.94368
2025-03-08,604511.89488,654699.11688,671182.2496799999,665844.8680799999,657268.4390400001,737384.7636000001,845527.8312,906899.976,432451.78128000005,580700.73744,723324.7944,615022.79832,617187.4812,859985.7048,586888.6211999999,676804.1270399999,895266.0432,936372.0528000001,695987.4456,748466.1144000001,640298.90016,696100.4568,565039.11096,668900.1168,985970.7072000001,663927.61104,759220.6788,677310.6383999999,728250.0911999999,747582.4151999999,726851.88,656250.26256,640466.8271999999,662737.19832,631306.97136,656138.75472,646233.9256799999,649453.37112,788926.824,857072.4264,680404.3415999999,742804.7328000001,666032.39496,1412589.9960000003,621809.3628,618574.15368,704341.5696,773392.7736,655511.13432,614032.8616800001,682242.4821599999,1815581.6064000002,743712.1488000001,2849533.5168000003,638718.1452,420594.9408
2025-03-09,615760.92864,636390.76248,671850.64224,714452.5619999999,666996.04872,712183.2552,758173.3056000001,883073.2212,444807.47592,621718.848,670740.41304,600909.43824,713405.09592,729765.3528,578758.64472,685833.06528,836058.456,943243.4664,692778.1716,748851.3288,670932.3463199999,684461.97504,641981.2896,700652.8728,809695.3536,661127.89032,759251.0808,669905.99856,724896.3672,595867.7736,750793.1256,665955.6350400001,627075.85536,654101.21592,634510.9771199999,626087.85624,636363.82512,659861.9316,743447.0628,822145.4532000001,647350.32816,727312.4784,661156.05024,1034906.0688,613004.05368,622923.71976,695170.9224,727498.1304000001,679785.0156,631348.78032,686483.94888,1096454.4479999999,726661.206,2775827.7504000003,635961.3091200001,437677.72416
2025-03-10,594607.79592,615783.2760000001,714074.7239999999,699427.1808,644179.46328,776197.5120000001,720595.4940000001,985945.5323999999,472484.97288,712576.58904,626178.53736,632396.484,1146931.2936,691737.7104,600074.63928,647062.69824,915050.952,1080546.2208,727931.0808,675482.74488,858845.1168,867603.8844000001,775247.8896,806038.6464,749990.5776,699134.63688,750580.8407999999,660871.1268,738260.2008,539210.6063999999,693140.1552,656013.7317599999,603360.9561600001,648351.7711199999,598811.52312,619331.73696,628854.09264,750296.2608,697894.4664,738770.0795999999,709353.8496000001,1260713.808,670524.40008,1454807.5848000003,881038.8792000001,585954.0216,870579.0576000002,752495.292,796373.2641599999,615647.1852,771589.746,1710292.9248,778583.5127999999,2990506.0032,638510.72472,461373.08832000004
