date,ensemble_01_m^3/d,ensemble_10_m^3/d,ensemble_11_m^3/d,ensemble_12_m^3/d,ensemble_13_m^3/d,ensemble_14_m^3/d,ensemble_15_m^3/d,ensemble_16_m^3/d,ensemble_17_m^3/d,ensemble_18_m^3/d,ensemble_19_m^3/d,ensemble_02_m^3/d,ensemble_20_m^3/d,ensemble_21_m^3/d,ensemble_22_m^3/d,ensemble_23_m^3/d,ensemble_24_m^3/d,ensemble_25_m^3/d,ensemble_26_m^3/d,ensemble_27_m^3/d,ensemble_28_m^3/d,ensemble_29_m^3/d,ensemble_03_m^3/d,ensemble_30_m^3/d,ensemble_31_m^3/d,ensemble_32_m^3/d,ensemble_33_m^3/d,ensemble_34_m^3/d,ensemble_35_m^3/d,ensemble_36_m^3/d,ensemble_37_m^3/d,ensemble_38_m^3/d,ensemble_39_m^3/d,ensemble_04_m^3/d,ensemble_40_m^3/d,ensemble_41_m^3/d,ensemble_42_m^3/d,ensemble_43_m^3/d,ensemble_44_m^3/d,ensemble_45_m^3/d,ensemble_46_m^3/d,ensemble_47_m^3/d,ensemble_48_m^3/d,ensemble_49_m^3/d,ensemble_05_m^3/d,ensemble_50_m^3/d,ensemble_51_m^3/d,ensemble_06_m^3/d,ensemble_07_m^3/d,ensemble_08_m^3/d,ensemble_09_m^3/d,flow_max_m^3/d,flow_75%_m^3/d,flow_avg_m^3/d,flow_25%_m^3/d,flow_min_m^3/d
2025-04-30,362396.63412,362498.88852,362368.431,362755.45332,362730.069,362508.01344,362703.23208,363497.54616,362564.9154,362666.69244,362643.1398,362526.85512,362669.13432,362535.66468000005,362235.80484,362585.8728,363220.75295999995,363261.44628,363223.00044,362363.0256,362373.32771999994,362686.35384,362749.17312,362386.76184,362657.79108,362321.1432,362184.92387999996,363444.01596,362578.03632,362653.77780000004,363444.3432,363432.2202,362770.65864000004,362785.65768,362370.37176,362682.6354,363152.18484,362637.87804,362177.73108000006,362931.9912,363068.68572,363079.89396,362553.60240000003,362553.88752,362702.42532,362625.93432,362557.62432,363035.54376000003,362453.50368,363509.4294,362531.80044,378039.312,362994.25104,2901811.46976,362463.15888,347801.24736
2025-05-01,361626.20316000003,358763.85972,366277.35492000007,365646.10679999995,355050.47952000005,376195.35996000003,358091.49708,404140.18932,342438.4512,357525.56844,353199.32496,359954.27784,353665.57824,359082.25668,368712.6156,360506.27772,389570.8446,373438.36835999996,373030.0344,365123.32416,364313.54772,357985.88711999997,349988.50332,361891.90151999996,371872.03356,368845.80120000005,374446.68336,367874.53128,368915.42663999996,357233.706,361411.58123999997,361828.296,354574.89288,349525.6542,354770.69364,356264.24076,358547.61672,358496.59644,367836.14484,374021.53056,365832.0396,363564.342,355328.5104,361737.86112,358908.72552,352151.41392,357265.86732,363656.24568,349629.68736,361800.08964,371476.84212,433444.7548799999,367691.74883999996,2902593.7267199997,356696.75376,327373.86816
2025-05-02,354223.20276,349614.9216,362660.23188,374068.52136,340247.56428,410196.15972,353391.92568,447603.8508,312523.70508,335827.512,335425.42368,348506.98848000006,341973.88920000003,353160.09288,372159.93456,350823.94487999997,420110.04996000003,384540.4422,379877.01948,364426.86348000006,366815.13768,355913.04312,325921.23144,350214.0894,381703.64076,371128.47192000004,379797.26688,374694.5196,391521.62052,336238.03404,365724.7848,371502.6228,337391.03988000005,338079.93731999997,339601.896,341884.98684,359671.65588,347044.54212,366550.98048,391968.36036000005,364535.75664,366041.92355999997,342012.23244000005,366980.62284,351842.72724,334352.32488,345188.95632,370038.09744,328566.60504,355399.80444,383738.58972000005,452173.8816000001,372486.32352000003,2885243.59584,342595.57932,299563.63488
2025-05-03,336557.82635999995,348839.65548,351634.392,379910.14848,325744.2594,418113.0478800001,330646.18608,440043.11964,282460.17924,310685.24592,326286.70452,346393.44684,338746.4496,344498.10948,364608.50436,334074.17952,415611.96336000005,383749.37460000004,379207.3644,358947.3528,360244.66824,353962.50048000005,298501.46459999995,331996.38048,381341.75436,368844.78276,381831.61428,378725.31072,408692.88612000004,306123.45336,357690.35592,376675.56144,332801.32392,349771.71167999995,318903.01236,335418.61644,356910.92856,341785.75968,352529.36856,364085.29296,341507.95452,362743.26443999994,329578.63632,367517.81052,349540.43616000004,309354.50124,330900.99263999995,390818.7036,305063.8686,356274.3312,383754.09204,448322.60160000005,373542.30108,2823631.16832,332083.73628,267327.8208
2025-05-04,392126.18184000003,387445.90248,347259.92436,385129.41047999996,313307.68032,436045.83875999996,316534.22568,439041.79332,265002.99228,330052.98852,345228.61716,374508.05112,339536.29464,340491.10644,397078.61903999996,337291.72740000003,425888.37828000006,396322.72920000006,374180.92668,366064.90812,350467.47792000003,363971.6532,339009.82920000004,348648.67476,390551.10876,367733.62584,393635.10816,381736.49543999997,417367.35864,296438.43564,366601.54932,368892.73152,346817.6136,366757.69247999997,324099.2358,335525.24592,392062.42296,349392.4362,372742.57512000005,366982.1478,342054.13536,356819.3208,322457.7006,370809.14184,342648.15155999997,294280.39476,326791.02024,418428.20808,299417.95476,350651.95488,393495.30972,479286.17568,385357.66092,2880913.9535999997,337283.90388,261381.02112
2025-05-05,465898.74731999997,434588.77836,405441.12059999997,440648.262,333017.47728,517741.74432000006,308851.59275999997,599525.61048,310637.76372,334423.27332000004,488437.61832,407558.57616000006,480464.08415999997,348312.50964,426651.27084,589945.67568,508338.4122,450434.73924,407087.62487999996,414585.03024,395504.1432,379884.70044,383406.9498,384476.73407999997,433683.5472,365061.09456,436886.16948,468900.58788,618481.83204,392073.60852,398201.41620000004,373582.99439999997,461654.61084,377525.14452,362514.0042,393585.52859999996,903968.5147200001,379272.25728,428863.37652000005,380102.32908,971107.93728,383654.48256000003,344379.7296,442647.32363999996,360775.31652,317301.1434,360532.70208,430858.58472000004,389035.21428,424021.149,395754.00120000006,1409138.9856,454208.9958,3483966.7641600003,371799.66060000006,272437.97472
2025-05-06,514372.29984,464401.68264,435265.71479999996,568140.27264,849339.7668000001,631992.6763200001,372158.4744,4206478.0032,413336.99519999995,355315.88736,539040.40704,408619.8792,1152768.92472,393171.29568000004,436105.19448000006,741128.4432,532435.47264,465875.87616,457469.16912000004,728842.52088,407437.53192,508356.33264,368764.04088,451983.37608,457448.3726400001,372009.28968,523208.24208,576675.0504000001,853008.2999999999,453217.99535999994,490838.62464000005,475211.46744000004,540519.97896,421087.29767999996,421615.88208,525533.6376,900820.3579199999,407302.48872,498833.70479999995,384950.73528,910156.3596,573450.3108,438428.95488,666363.89232,373432.05792,383639.706,510887.94983999996,441364.56552,404005.27896,464538.00888000004,419473.69560000004,8061907.968,555148.11888,2375750.9088,416196.8157599999,327929.36832
2025-05-07,558801.83448,435775.74695999996,526781.4264,539649.96552,1012373.7696,652157.85528,417699.14544,4060081.7352,402635.78928,348702.65423999995,533871.89208,439128.6479999999,1311581.2680000002,478032.30863999994,435132.162,385085.93831999996,543058.6593599999,415580.9976,475674.39647999994,730513.12536,459451.32336000004,540983.7115199999,328266.84239999996,420860.5992,452468.8944,381256.87392,578190.38112,626116.7678400001,709246.5170400001,565309.206,601281.46368,547709.71608,479119.33728,497995.30944,403821.27504000004,467845.48944000003,466928.74224000005,373292.22168,478727.82,361396.28952,541367.4312,591661.31832,482899.20768,631874.96928,389468.358,460675.60704000003,549303.6794400001,441544.11120000004,408291.93936,451919.97359999997,480176.93160000007,6591381.696,562546.5336,2342884.0896,426124.2384,312436.77696
2025-05-08,693863.8632,400235.97959999996,506638.90583999996,460446.48503999994,506789.3951999999,513279.35496,439488.23399999994,1106448.5304,393221.34288,304709.03568,505989.99000000005,377778.25224,709090.2216,463905.19584000006,446500.31111999997,357154.43616,497930.64984,382111.48224000004,1015734.5481600001,487848.28823999997,446744.12976,454792.08888,290291.90832,377096.99256,439924.7700000001,389692.836,605259.23976,688696.81056,522611.71056,469667.62872000004,532250.52264,548917.5211199999,410912.37144,530212.80672,375731.86607999995,426846.49056,455016.30984,350651.88143999997,478412.08631999994,342401.32512000005,424536.98399999994,509578.42175999994,460048.76208,470977.45272000006,415284.63048000005,430501.94711999997,409006.3788,427848.54480000003,402126.2798399999,406189.92456,474620.364,1631176.3584000003,504462.77928,1924393.36896,402442.86455999996,276389.42688
2025-05-09,533869.10784,347366.43504,434872.80864000006,399622.01904000004,360353.23848,425181.84336,373087.10808000003,621952.8192,342596.63016,287887.13928,429084.02592000004,358516.70712000004,473431.26456000004,399380.2286399999,418823.32176,345223.85976,425067.41952000005,362364.05591999996,1551119.544,416164.29264,406026.90072000003,390031.63632,270095.26248,358709.30352,454634.52336,391450.5684,579977.46576,598530.9434400001,444907.06056,392329.13112000003,423638.0244,488423.57616000006,377016.31008,457205.53032,346977.75816,368057.69496,480156.02280000004,339582.19032,429582.08736,317246.79024,462466.98360000004,431765.35056,403303.38263999997,387053.13024,382129.82064000005,392715.41903999995,344078.23896,401975.53560000006,346777.41816,368418.58128,412274.40048000007,1757569.6224000002,433959.59303999995,1721843.12736,361374.94656,266441.832
