date,ensemble_01_m^3/d,ensemble_10_m^3/d,ensemble_11_m^3/d,ensemble_12_m^3/d,ensemble_13_m^3/d,ensemble_14_m^3/d,ensemble_15_m^3/d,ensemble_16_m^3/d,ensemble_17_m^3/d,ensemble_18_m^3/d,ensemble_19_m^3/d,ensemble_02_m^3/d,ensemble_20_m^3/d,ensemble_21_m^3/d,ensemble_22_m^3/d,ensemble_23_m^3/d,ensemble_24_m^3/d,ensemble_25_m^3/d,ensemble_26_m^3/d,ensemble_27_m^3/d,ensemble_28_m^3/d,ensemble_29_m^3/d,ensemble_03_m^3/d,ensemble_30_m^3/d,ensemble_31_m^3/d,ensemble_32_m^3/d,ensemble_33_m^3/d,ensemble_34_m^3/d,ensemble_35_m^3/d,ensemble_36_m^3/d,ensemble_37_m^3/d,ensemble_38_m^3/d,ensemble_39_m^3/d,ensemble_04_m^3/d,ensemble_40_m^3/d,ensemble_41_m^3/d,ensemble_42_m^3/d,ensemble_43_m^3/d,ensemble_44_m^3/d,ensemble_45_m^3/d,ensemble_46_m^3/d,ensemble_47_m^3/d,ensemble_48_m^3/d,ensemble_49_m^3/d,ensemble_05_m^3/d,ensemble_50_m^3/d,ensemble_51_m^3/d,ensemble_06_m^3/d,ensemble_07_m^3/d,ensemble_08_m^3/d,ensemble_09_m^3/d,flow_max_m^3/d,flow_75%_m^3/d,flow_avg_m^3/d,flow_25%_m^3/d,flow_min_m^3/d
2024-10-20,1108099.467,1107277.83,1107126.5004,1109673.0864000001,1107963.0144,1105514.8164,1111718.9304,1106809.2612,1106967.6971999998,1106493.1236,1107459.6264,1105685.3538000002,1110928.4892,1107860.7816,1108339.5293999999,1109043.1872,1105983.6444,1105945.5528000002,1106555.6988,1106534.8548,1107449.3772,1106237.2392,1108985.4936000002,1108668.546,1107852.93,1107731.079,1106621.6328,1107227.5776,1107307.2438,1109278.5084000002,1106430.4458,1110070.8612000002,1107936.414,1107220.9572,1110565.3608,1106317.8342,1111299.8255999999,1108469.2428000001,1109103.1002,1107634.0032,1108317.5351999998,1106675.2764,1108045.818,1107510.192,1106468.0406,1109077.6608,1107755.676,1110952.4166,1110203.7497999999,1107552.0636,1105127.118,1135423.44,1110684.8088,8863070.2416,1105031.8566,1085716.4832
2024-10-21,1163543.4270000001,1100164.2966,1129682.5380000002,1042194.3462,1087121.2932,1232242.4268,1123447.914,1140118.2648,1169800.1532,1107606.5658,1113463.4868,1257731.9712,1036323.8388,1068523.1639999999,1078608.0636,1027920.0131999999,1158283.2545999999,1179804.7547999998,1093008.0869999998,1125599.9759999998,1135373.7708,1273748.4198,1099227.4884,1079149.1436,1079635.878,1103940.3168000001,1138219.2252,1116982.818,1120552.0992,1050742.7028,1198142.7606,1007836.8462,1139197.3002,1137955.392,974509.11,1167498.5219999999,945931.9644,1076737.6332,1083323.646,1194795.4949999999,1084901.6502,1108784.106,1109644.8012,1096469.3844,1218106.8792,1191690.0684,1099169.6543999999,1014832.5516,1046635.5924,1102032.324,1218616.4124,1463285.4336,1154806.1082000001,8917578.921600001,1077315.7464,802652.4575999998
2024-10-22,1221783.642,1154247.5808,1163642.9112,955795.1508,997266.9240000001,1678489.2576000001,967325.5008,1339638.7068,1181727.2196,1128960.6173999999,998400.1355999999,1792161.7848,976232.9034,1034270.7263999999,838487.4084000001,897453.3995999999,1202611.482,1224071.0604,1105168.0122,1157288.9148,1367488.9692000002,1512941.6195999999,1126220.976,962972.0964,1116770.652,1159223.4,1224252.2196,1138169.1456000002,1166835.969,1040767.4879999999,1305298.3572,926426.0412000001,1092963.9312,1231917.3468,804974.4143999999,1377452.2716,642103.46568,1154542.1184,928805.1408,1275919.2846000001,984885.6366000001,1190533.1886,932203.8846,1117456.29,1177993.6272,1142838.396,1068638.2326,776501.1864,1084080.8448,1090101.3696,1284703.9668,1995456.0383999997,1209511.6992000001,9007216.416000001,991193.3874000001,542490.62688
2024-10-23,1253657.196,1172836.9458,1157137.6284,923470.929,938056.7988,1943144.1108,845208.1943999999,1466931.8591999998,1145657.0124000001,1120977.0792,892950.8742,2108017.3752,973439.8181999999,1007986.0319999999,647928.15732,831628.5930000001,1195172.3556,1188122.6609999998,1106731.5714,1146069.216,1525486.0572,1615116.78,1134529.0596,875402.3754,1153555.3007999999,1187543.0196,1265476.3325999998,1145355.4116,1175224.4154,1073126.34,1320027.003,902647.6218000001,1028693.628,1289276.0874,722848.1472,1489433.1624,468531.34991999995,1217505.8808,804942.8352000001,1296840.2616,910823.4918,1231094.3436,773673.201,1133433.0162,1074819.9096000001,1076316.5736,1036390.4909999999,636951.36672,1133892.7776,1085478.6996,1274732.37,2153067.0912,1224425.322,8960673.340799998,930763.8504000001,427743.5904
2024-10-24,1243551.4524,1158303.078,1145529.378,898441.1028,906637.0499999999,1975881.0384,786898.368,1485909.0036,1115268.1614,1113116.148,853294.6457999999,2157027.5916,965853.0719999999,990400.041,584781.64812,802982.6028,1181179.3625999999,1157615.0532,1089270.4175999998,1130384.4678,1547071.9632,1609251.0407999998,1113240.0132000002,836678.5271999999,1161417.6683999998,1188981.1638,1263190.9283999999,1127611.8216000001,1163703.4775999999,1074031.326,1308285.3672,884206.7352,992275.8444,1286816.166,684133.8062400001,1500534.6552,403080.45012000005,1221190.9002,760245.7823999999,1291794.3503999999,886331.7756,1233696.0474,717048.7308,1131413.1246,1025990.2475999999,1046152.5516,1015340.4756,590200.33644,1131325.8876,1061949.5928,1247911.7472,2161947.5423999997,1227443.4684,8823126.0528,902539.0818,393534.97919999994
2024-10-25,1219735.0655999999,1144665.1025999999,1135944.9072,886124.6046000001,892424.4768,1932448.4172,761801.7383999999,1461156.0408,1096497.3942,1095036.9696,842169.9708,2119384.5804,946062.5795999999,983248.8372,563468.0014800001,799939.8702,1163728.35,1136567.3004,1065368.4732,1121117.1444,1529121.2076,1583593.8372,1101223.8468,817693.6716000001,1149990.4043999999,1173931.9902000001,1251575.5284,1110989.6874,1148061.8646,1057436.7480000001,1287052.9992,876789.8028000001,975896.7642,1277390.7252,675092.94264,1481624.6652,390611.96135999996,1201920.606,744852.0834,1272966.3324000002,863459.2872,1217805.084,700685.7372,1113300.6228,1003336.5078,1025414.964,1005474.7944,580149.7160400001,1122953.8032,1038917.2428,1221704.3052,2140949.0592,1209641.4072,8685162.4032,889274.5380000001,384304.64255999995
2024-10-26,1194807.1752,1140933.2544,1117366.2719999999,876169.6344000001,883900.0584,1888103.5415999999,754945.6824,1443041.0496,1083391.7616,1082063.8152,833219.4708,2071993.2840000002,933422.9184,982483.9488,563477.9320799999,789355.5192,1154077.1568,1133438.3352,1059105.4128,1104481.9692,1504729.224,1560719.7504,1103698.6344,814015.9368,1139666.5980000002,1161593.6112000002,1240538.8248,1098702.3168000001,1143480.4344000001,1044491.3928,1269931.4135999999,877749.372,973789.3655999999,1263553.4087999999,670251.48408,1459585.2456,384784.6356,1188816.1992000001,736609.7663999998,1257754.824,847462.3488,1199714.436,713889.9143999999,1109611.9584000001,985760.604,1009469.8764000001,990074.6639999999,575732.4415200001,1115330.1479999998,1022909.3208000001,1197661.3236,2089896.7680000002,1191761.8991999999,4294263.384,881049.2688,381815.99423999997
2024-10-27,1165559.2308,1138751.9676,1105025.6952,870636.7512,877131.9792000001,1829166.9696,747779.2452,1416988.6848,1064163.3552,1071118.0368,816291.7344,2041548.7752,925506.2376000001,981981.0791999999,596867.92488,783647.352,1163351.592,1129505.1912,1043461.0296,1091307.1464,1465373.7864,1547380.4976000001,1091411.8632,801655.3367999999,1132636.4892,1158919.5744,1216163.4192,1085566.8492,1125451.368,1021384.2528000001,1249840.5408,856860.2496,963181.6488000001,1240762.7736,667331.42544,1434235.1615999998,385537.66128,1172179.0908,730368.8568,1244428.1208,837583.7399999999,1185434.8272,694892.11824,1098168.4404,955532.3328000001,987543.3924,976669.0344,595487.75832,1100646.6948,1006405.6032,1172190.852,2074340.6208000001,1169448.1056000001,4240079.4816,873884.3544000001,384527.81376000005
2024-10-28,1146455.2296000002,1113232.0536,1085101.2504,862036.128,1225613.4840000002,1771023.6360000002,752855.8176,1404564.9479999999,1057681.3895999999,1059995.0088,814487.8644000001,2168459.964,924108.8688,966304.5984,724796.51688,783161.244,1176927.8723999998,1120462.2864,1020262.5,1079444.5344,1437399.0216,1765247.6664,1073892.8808,812328.9336,1112866.6356,1154441.4408,1198607.8464000002,1079199.2448,1111877.0208,1003581.7596000001,1235233.3464000002,833011.9055999999,949071.0492,1218560.2415999998,670296.72528,1431439.0632,378324.49248,1166224.9968,708079.4496,1234431.9,832813.3799999999,1170677.7936,682049.3846400001,1082445.498,929382.4440000001,968085.2376000001,965909.6532,586764.88992,1118105.1,989980.6392,1142312.8248,2282383.2672,1162334.9016,4258793.2896,873955.3752,375166.7712000001
2024-10-29,1117817.6904,1085858.4708,1071891.0576,863641.2888,2667659.3568,1720592.8199999998,737664.1704000001,1401315.2280000001,1031549.4072,1053746.6688,787365.8568,2681904.2328,921171.2904000002,972067.1328,897684.2712,768715.7688,1121645.0808,1128339.2232,1009101.4128,1050877.0224000001,1399093.9056000002,1856793.5639999998,1083763.4112,787666.3236,1119040.3152,1123550.352,1172448.5184,1053835.5096,1096642.2816,1012192.8048,1227356.4312,841675.7304,964074.6144000001,1205184.4091999999,676659.38976,2511217.08,374224.69152,1138233.384,701299.4364,1202224.3776000002,820845.9648,1147917.42,765744.4188,1062480.3048,980356.7592,1000260.7920000001,965070.2555999999,552401.63784,1524457.0655999999,974870.9208000001,1125814.5935999998,3394080.9216,1143818.3879999998,4514353.5168,913487.868,373506.04224000004
