date,ensemble_01_m^3/d,ensemble_10_m^3/d,ensemble_11_m^3/d,ensemble_12_m^3/d,ensemble_13_m^3/d,ensemble_14_m^3/d,ensemble_15_m^3/d,ensemble_16_m^3/d,ensemble_17_m^3/d,ensemble_18_m^3/d,ensemble_19_m^3/d,ensemble_02_m^3/d,ensemble_20_m^3/d,ensemble_21_m^3/d,ensemble_22_m^3/d,ensemble_23_m^3/d,ensemble_24_m^3/d,ensemble_25_m^3/d,ensemble_26_m^3/d,ensemble_27_m^3/d,ensemble_28_m^3/d,ensemble_29_m^3/d,ensemble_03_m^3/d,ensemble_30_m^3/d,ensemble_31_m^3/d,ensemble_32_m^3/d,ensemble_33_m^3/d,ensemble_34_m^3/d,ensemble_35_m^3/d,ensemble_36_m^3/d,ensemble_37_m^3/d,ensemble_38_m^3/d,ensemble_39_m^3/d,ensemble_04_m^3/d,ensemble_40_m^3/d,ensemble_41_m^3/d,ensemble_42_m^3/d,ensemble_43_m^3/d,ensemble_44_m^3/d,ensemble_45_m^3/d,ensemble_46_m^3/d,ensemble_47_m^3/d,ensemble_48_m^3/d,ensemble_49_m^3/d,ensemble_05_m^3/d,ensemble_50_m^3/d,ensemble_51_m^3/d,ensemble_06_m^3/d,ensemble_07_m^3/d,ensemble_08_m^3/d,ensemble_09_m^3/d,flow_max_m^3/d,flow_75%_m^3/d,flow_avg_m^3/d,flow_25%_m^3/d,flow_min_m^3/d
2024-11-26,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,2.0463979676399998e-05,5.6298386879999996e-05,2.0463979676399998e-05,0.0001637118305856,2.0463979676399998e-05,1.959173568e-06
2024-11-27,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,3.5205712667999995e-07,1.1627784576e-06,3.5205712667999995e-07,2.8164571585919997e-06,3.5205712667999995e-07,3.016236096e-08
2024-11-28,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,5.42007799488e-09,1.7901498528000002e-08,5.42007799488e-09,4.336063261632e-08,5.42007799488e-09,4.6436315904e-10
2024-11-29,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,1230.9277860000786,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,121.52044440008105,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,8.344454598e-11,4429.5520032,8.344454598e-11,212.14874592062807,8.344454598e-11,7.1490798720000005e-12
2024-11-30,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,3114.9957024000005,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,847.8989463600001,1.2846664465200003e-12,1.2846664465200003e-12,2138.2460568000006,192.04523064000114,1.2846664465200003e-12,3432.537864,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,323.959091112,1.2846664465200003e-12,1.2846664465200003e-12,222.37884072000054,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,1.2846664465200003e-12,8359.248816,1.2846664465200003e-12,1611.303767424,1.2846664465200003e-12,1.1006330976e-13
2024-12-01,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,1514.13051384,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,192.04523064000003,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,47.801252736,1.9778018648399998e-14,1970.61805692,3277.22643036,37.7609333544,1.9778018648399998e-14,144.914536728,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,1041.71851008,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,835.540151472,1.9778018648399998e-14,1.9778018648399998e-14,116.33806537199999,750.9673004400001,1.9778018648399998e-14,1.9778018648399998e-14,561.031758,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,1.9778018648399998e-14,7825.551264,1.9778018648399998e-14,1645.50470976,1.9778018648399998e-14,1.6944742944e-15
2024-12-02,4.868904816e-16,4.868904816e-16,4.868904816e-16,47.920231367999996,4.868904816e-16,4.868904816e-16,4.868904816e-16,60.38079141600001,4.868904816e-16,4.868904816e-16,181.84506307200002,4.868904816e-16,1.1767596386399999,4.868904816e-16,65.431242072,96.393029616,0.92958952752,4.868904816e-16,3.5674710681600006,4.868904816e-16,4.868904816e-16,4.868904816e-16,4.868904816e-16,4.868904816e-16,4.868904816e-16,84.23542728,4.868904816e-16,979.9605504000001,4.868904816e-16,4.868904816e-16,4.868904816e-16,4.868904816e-16,34.5886088976,4.868904816e-16,4.868904816e-16,4.868904816e-16,20.569125744000004,4.868904816e-16,4.868904816e-16,657.9109057679999,129.611505024,4.868904816e-16,4.868904816e-16,791.3867832000001,4.868904816e-16,4.868904816e-16,4.868904816e-16,4.868904816e-16,4.868904816e-16,4.868904816e-16,4.868904816e-16,1748.3931648000002,0.8029580867999999,247.522122432,4.868904816e-16,7.916098464e-17
2024-12-03,1.0596249252000001e-17,1.0596249252000001e-17,1.0596249252000001e-17,768.7424762279999,1.0596249252000001e-17,1.0596249252000001e-17,1.0596249252000001e-17,1.3140735948000002,1.0596249252000001e-17,1.0596249252000001e-17,3.9575134656,1.0596249252000001e-17,0.02560994388,1.0596249252000001e-17,1120.40880048,2.0978116884,647.10228723732,1.0596249252000001e-17,405.17111952000005,1.0596249252000001e-17,1.0596249252000001e-17,1.0596249252000001e-17,1.0596249252000001e-17,1.0596249252000001e-17,1.0596249252000001e-17,143.910972432,1.0596249252000001e-17,82.43813761200002,1.0596249252000001e-17,1.0596249252000001e-17,1.0596249252000001e-17,1.0596249252000001e-17,0.7527555698399999,1.0596249252000001e-17,1.0596249252000001e-17,1.0596249252000001e-17,0.447648053904,1.0596249252000001e-17,1.0596249252000001e-17,183.577967784,2.8207488708,1.0596249252000001e-17,1.0596249252000001e-17,17.2230341904,1.0596249252000001e-17,1.0596249252000001e-17,1.0596249252000001e-17,1.0596249252000001e-17,1.0596249252000001e-17,1.0596249252000001e-17,1.0596249252000001e-17,1893.0573504,0.276761023776,265.097324448,1.0596249252000001e-17,1.218719088e-18
2024-12-04,1.6313402980799998e-19,1.6313402980799998e-19,1.6313402980799998e-19,64.597961484,1.6313402980799998e-19,1.6313402980799998e-19,1.6313402980799998e-19,0.020230754918400002,1.6313402980799998e-19,1.6313402980799998e-19,0.06092770514399999,1.6313402980799998e-19,0.00039427662815999997,1.6313402980799998e-19,31.441331304000002,224.04068855999998,183.342618288,1.6313402980799998e-19,11.3756107968,1.6313402980799998e-19,1.6313402980799998e-19,1.6313402980799998e-19,1.6313402980799998e-19,1.6313402980799998e-19,1.6313402980799998e-19,2.2155740870400003,1.6313402980799998e-19,1.2691722924,1.6313402980799998e-19,1.6313402980799998e-19,212.2611696,1.6313402980799998e-19,0.0115890114528,1.6313402980799998e-19,1.6313402980799998e-19,1.6313402980799998e-19,304.6668959817072,1.6313402980799998e-19,1.6313402980799998e-19,2.82626552808,0.04342670172,1.6313402980799998e-19,1.6313402980799998e-19,0.265156384248,1.6313402980799998e-19,1.6313402980799998e-19,1.6313402980799998e-19,1.6313402980799998e-19,1.6313402980799998e-19,1.6313402980799998e-19,1.6313402980799998e-19,1218.6408096,0.011979867060000001,81.446200704,1.6313402980799998e-19,1.8762730272e-20
2024-12-05,2.51152205904e-21,2.51152205904e-21,2.51152205904e-21,0.9945147708,2.51152205904e-21,2.51152205904e-21,2.51152205904e-21,0.00031146159182400004,2.51152205904e-21,2.51152205904e-21,0.0009380094624000001,2.51152205904e-21,6.070066840800001e-06,2.51152205904e-21,0.48405348144000004,6.290315712,2.82264220368,2.51152205904e-21,0.17513264988,2.51152205904e-21,2.51152205904e-21,2.51152205904e-21,2.51152205904e-21,2.51152205904e-21,2.51152205904e-21,0.034109763551999996,2.51152205904e-21,0.019539478368,2.51152205904e-21,2.51152205904e-21,17.856243936000002,2.51152205904e-21,0.00017841804422400002,2.51152205904e-21,2.51152205904e-21,2.51152205904e-21,604.72816488,2.51152205904e-21,2.51152205904e-21,424.56581898480005,0.00066857366736,2.51152205904e-21,2.51152205904e-21,0.00408220209216,2.51152205904e-21,2.51152205904e-21,2.51152205904e-21,2.51152205904e-21,2.51152205904e-21,388.8954072000001,2.51152205904e-21,1555.5816288000003,0.00049902538968,113.480167104,2.51152205904e-21,2.8886068800000003e-22
