date,ensemble_01_m^3/d,ensemble_10_m^3/d,ensemble_11_m^3/d,ensemble_12_m^3/d,ensemble_13_m^3/d,ensemble_14_m^3/d,ensemble_15_m^3/d,ensemble_16_m^3/d,ensemble_17_m^3/d,ensemble_18_m^3/d,ensemble_19_m^3/d,ensemble_02_m^3/d,ensemble_20_m^3/d,ensemble_21_m^3/d,ensemble_22_m^3/d,ensemble_23_m^3/d,ensemble_24_m^3/d,ensemble_25_m^3/d,ensemble_26_m^3/d,ensemble_27_m^3/d,ensemble_28_m^3/d,ensemble_29_m^3/d,ensemble_03_m^3/d,ensemble_30_m^3/d,ensemble_31_m^3/d,ensemble_32_m^3/d,ensemble_33_m^3/d,ensemble_34_m^3/d,ensemble_35_m^3/d,ensemble_36_m^3/d,ensemble_37_m^3/d,ensemble_38_m^3/d,ensemble_39_m^3/d,ensemble_04_m^3/d,ensemble_40_m^3/d,ensemble_41_m^3/d,ensemble_42_m^3/d,ensemble_43_m^3/d,ensemble_44_m^3/d,ensemble_45_m^3/d,ensemble_46_m^3/d,ensemble_47_m^3/d,ensemble_48_m^3/d,ensemble_49_m^3/d,ensemble_05_m^3/d,ensemble_50_m^3/d,ensemble_51_m^3/d,ensemble_06_m^3/d,ensemble_07_m^3/d,ensemble_08_m^3/d,ensemble_09_m^3/d,flow_max_m^3/d,flow_75%_m^3/d,flow_avg_m^3/d,flow_25%_m^3/d,flow_min_m^3/d
2024-11-06,1723308.7175999999,1716970.9212000002,1755904.1543999999,1731094.7399999998,1721222.838,1746050.1048,1724305.9788000002,1727830.0188000002,1729290.8916000002,1738368.3672,1724475.042,1756459.8684,1722712.9248,1735890.1992000001,1750526.4456000002,1722156.8112,1735718.4576,1721176.7976000002,1731537.4751999998,1725621.8076,1724240.682,1738944.9144000001,1739257.4016,1734157.2744,1753780.7124,1733614.8768000002,1750374.7812,1739114.3988,1755874.0655999999,1749252.6072,1731928.014,1720409.7708,1728503.9388,1737553.2372,1726704.2915999999,1725953.0544000003,1725036.804,1728565.0668000001,1722656.4192,1728481.9500000002,1736402.184,1747995.6708,1720848.9203999997,1723724.7444000002,1773890.4636,1720067.7023999998,1721999.0664,1721095.8192000003,1723429.9476,1733911.0991999998,1731752.7084000001,1851471.3024,1739244.582,13865121.215999998,1722972.3624,1706149.3536
2024-11-07,1786099.7880000002,1705657.4244,1815087.0851999999,1935714.9096,1768564.0872,1800511.2216,1743745.0824000002,1792772.7948,1821822.84,1703366.9064000002,1783448.5392,1823956.4556,1734413.3639999998,1762536.9312,1799876.6352000001,1731741.4008000002,1763210.0088,1773843.7968000001,1756494.2772,1809238.4640000002,1789955.2476,1799704.926,1790925.2928,1822177.458,1746641.1996,1764109.1735999999,1844017.3368,1734457.7736,2048091.5124,1814888.6675999998,1838935.44,1731435.2532000002,1667651.4144000001,1756470.5712,1695469.0499999998,1731612.0707999999,1820199.7944,1691775.3635999998,1743753.9815999998,1799870.3064,1753290.9864,1782721.0188000002,1721763.7236000001,1706985.09,1800878.9076,1736533.0368,1739479.8491999998,1763451.4428,1821730.3704,1764897.8760000002,1738333.764,2190817.8432,1801425.0744,14207734.972799998,1736658.5543999998,1636298.4096
2024-11-08,1774378.5695999998,1777497.4476,1726070.31,1879643.6532,1752217.9091999999,1818645.912,1727804.3256,1812839.4648000002,1857946.6044,1616849.9856,1783107.4644,1801041.9228000003,1687237.2576000001,1620202.4568,1733817.636,1633074.588,1740179.7539999997,1822272.8868,1741084.2972000001,1819551.4379999998,1866387.4523999998,1845020.6028,1738438.8264000001,1803850.6247999999,1670913.0576,1722400.2539999997,1808130.3624,1594844.9531999999,1976204.9627999999,1762484.5728,1816745.4576,1660500.27,1611022.1328,1814009.418,1543793.2668,1726874.4348,1866728.8512,1643764.4064000002,1695142.9331999999,1849442.7924,1657418.9436,1779524.9748,1724691.0851999999,1623636.8892,1762010.8848,1760715.7703999998,1705486.0824000002,1684902.5784,1799126.9856,1754254.4112,1726149.096,2096780.8608,1808268.5052,13979620.310400002,1692453.1608,1469525.4144000001
2024-11-09,1738436.4288,1725401.4336,1704395.7251999998,1806383.7216,1638613.5624000002,1935258.8256,1623918.8232,1872703.9836,1831552.4519999998,1594331.1216000002,1718566.3295999998,1943117.208,1616961.9708,1556028.3924,1545906.6864,1534532.5152,1768024.5516,1815945.534,1732174.5456,1797600.3624,1961618.6231999998,1946273.2488,1727994.0707999999,1777914.1223999998,1668136.4963999998,1714581.216,1803162.9671999998,1559993.5152,1905444.1295999999,1691996.6556000002,1822745.0628000002,1558589.0184,1538198.262,1787320.2636,1401752.3147999998,1796862.8412000001,1658330.7444000002,1598796.3599999999,1560678.4188,1897214.3676,1557175.3308,1801337.8752000001,1596230.3124000002,1602936.4104,1684707.7680000002,1727576.4672000003,1672598.3436000003,1500788.6064000002,1607881.3848,1708928.0639999998,1736688.0491999998,2004646.752,1799522.19,13658714.64,1600761.042,1347847.8624
2024-11-10,1694133.7703999998,1643572.4471999998,1672696.2348,1644872.7348,1542146.6448000001,1973982.0203999998,1508916.8916,1891099.2996,1782263.5415999999,1558748.0484,1594628.9424,2023123.3272000002,1589688.6120000002,1494137.1564,1385915.2164,1456492.8276,1734350.6268000002,1765275.5628000002,1711006.3296000003,1749002.9652,1994941.6776,2009541.42,1704782.2463999998,1631632.3128000002,1663423.0524,1685832.2964,1782129.8376,1537320.3516,1818985.3451999999,1666458.2304000002,1799387.8055999998,1514355.5016,1472116.7555999998,1782739.368,1297743.201,1815776.028,1380540.1428,1587734.2008000002,1449467.0496,1884054.0276,1486268.3843999999,1762460.9208,1448244.6732,1598615.0604,1568860.2072,1617674.6628,1595613.5028000001,1364170.9608,1420204.2119999998,1653549.9948,1699284.3443999998,2027501.1072,1762259.2956,13193719.344,1526355.2088,1272847.2192
2024-11-11,2499571.3644000003,1582116.2459999998,1650442.9536,1491253.6104000001,1500206.5512,1957116.6648000001,1454512.0968,1908011.1815999998,1766189.8908000002,1548499.2804,1531219.0536000002,2047644.5868,1562754.1356,1444156.6032,1282706.5068,1401889.842,1997718.0119999999,1877309.3303999999,1684306.5803999999,1725889.8203999999,1933460.2907999998,2000065.3704000001,1669020.984,1542450.2652,1643121.6660000002,1655273.7288000002,1809179.0424,1501440.678,1760339.7684000002,1608226.7796,1787956.0164,1545618.4884,1436586.1379999998,1756937.4012000002,1263322.6344,1792312.0452,1269182.142,1569831.6456,1401413.8536,1856339.7264,1518045.6347999999,1694673.7703999998,1378212.6347999999,1650332.0592,1538133.7536,1531350.3599999999,1533213.0792,1303957.0943999998,1325991.9132,1717875.0432,1653263.3844,3214265.7600000007,1763678.5559999999,13107552.192000002,1499100.5448,1255215.744
2024-11-12,2202780.312,1612947.7727999997,1656286.1424000002,1440947.4912,1505618.5824000002,1920577.6295999999,1429018.1352,2518213.5576,1830617.0855999999,1663101.4823999999,1515138.2208,2036389.2911999999,1538320.3992,1421658.2808,1265361.7176,1388122.704,3257379.792,2097085.5071999999,1663289.4024000003,2250546.0768,1916920.2095999997,2259909.1584,1640362.2552,1521673.5384,1616286.8303999999,1637123.2488,1806303.9743999997,1481838.2352,1844294.3136,2030020.1855999997,1791850.6368000002,1610399.3184000002,1415900.6927999998,1817266.7736,1379857.6152000001,1765626.7679999997,1273122.4572,1548245.0592,1384712.9928000001,1835773.2864,1565236.6776,1663902.648,1330672.32,1751977.1231999998,1539380.7648,1491399.4752000002,1504763.2008,1333244.5776,1622227.2624,1735254.2952,1652677.8191999998,3756164.4000000004,1818818.0855999999,6822088.099200001,1495275.6384,1256510.016
2024-11-13,1905062.8895999999,1582982.5896,1627634.9519999998,1413980.7768,1493152.0559999999,1886142.456,1391863.4568,5012040.0456,1802576.5920000002,1736025.4368000003,1519155.3887999998,1978883.6543999999,1523759.9688,1402354.8792,1251338.0688,1375867.7711999998,3030705.4608000005,2158471.8647999996,1627669.7064,3826979.5680000004,1871565.8688,5223545.8416,1617934.9536,1493260.2288000002,1588299.4080000003,1626724.2312000003,1778046.6168,1451771.208,2043342.4392,2797496.2224000003,1770239.7072,1834642.1591999999,1409650.1496000001,1921230.4679999999,1772067.2615999999,1721011.7088000001,1312783.1568,1558430.2584000002,1370319.8328,1816159.1256,1528998.552,1631983.0103999998,1302301.7352,1730608.0920000002,1501898.4144000001,1462170.7008,1479771.6552,1289456.5392,1633285.3176000002,1630993.9896,1661039.7192,6246836.64,1849724.8560000001,7402170.7872,1481931.8496,1235198.16
2024-11-14,1814536.8576000002,1498254.5808,1590072.6168,1379587.9932,1438078.9248,1833670.8935999998,1352171.8368,3077461.4255999997,1701161.2008000002,1844830.4904000002,2235397.1328,1939027.0752,1487894.5296,1401008.5943999998,1218680.1648,1350959.4936000002,3196808.0783999995,1982418.3863999997,1590124.7591999997,2572529.7384,1779329.9160000002,3096192.2112,1597817.5343999998,1497316.3848,1576836.1152,1585873.5768,1828894.1616,1429319.7792,1926547.5240000002,2258276.6952,1724601.0672,2040723.3312,1406532.8591999998,1825590.9815999998,1732103.4168000002,1685676.1176,1447152.804,1536244.5744,7995516.6959999995,1758080.7648,1558578.4127999998,1654413.4872,1275717.6,1610576.7192,1455748.3944,1446714.4967999998,1457571.6504,1257448.1256,1879479.9792,1544538.9096,1648100.0664,12061967.904,1844691.7104000002,7452721.0944,1459543.5576,1203937.4304
2024-11-15,1925423.784,1458693.0144,1544097.8376,1355363.1072,1410751.188,1797914.8368,1314779.4828,2368957.6656,1648326.4128,1958937.264,2883671.6040000003,1897496.9928000001,1453209.4224,1372066.8731999998,1193450.4035999998,1322166.8448,4432624.8192,1782858.9671999998,1581909.2208,1855651.0536000002,1726321.8528,2568339.7272,1560087.9072,2443050.9792,1608192.792,1549873.1592,1923579.7488,1403202.96,2068175.2031999999,1858812.8832,1692082.2887999997,4255575.4512,1371560.796,1679436.6120000002,1746085.4856,1654419.7944,2119056.7032,1494054.1584,6288905.318399999,1723323.168,1590692.796,1838494.368,1255170.7944,1526566.9968,1524774.4344000001,1416938.7888000002,2503750.392,1230812.7767999999,1864349.3088,1491477.4296,1720359.8207999999,9790916.256,1899744.8616,7627911.5232,1465665.3432,1188650.0736
