date,ensemble_01_m^3/d,ensemble_10_m^3/d,ensemble_11_m^3/d,ensemble_12_m^3/d,ensemble_13_m^3/d,ensemble_14_m^3/d,ensemble_15_m^3/d,ensemble_16_m^3/d,ensemble_17_m^3/d,ensemble_18_m^3/d,ensemble_19_m^3/d,ensemble_02_m^3/d,ensemble_20_m^3/d,ensemble_21_m^3/d,ensemble_22_m^3/d,ensemble_23_m^3/d,ensemble_24_m^3/d,ensemble_25_m^3/d,ensemble_26_m^3/d,ensemble_27_m^3/d,ensemble_28_m^3/d,ensemble_29_m^3/d,ensemble_03_m^3/d,ensemble_30_m^3/d,ensemble_31_m^3/d,ensemble_32_m^3/d,ensemble_33_m^3/d,ensemble_34_m^3/d,ensemble_35_m^3/d,ensemble_36_m^3/d,ensemble_37_m^3/d,ensemble_38_m^3/d,ensemble_39_m^3/d,ensemble_04_m^3/d,ensemble_40_m^3/d,ensemble_41_m^3/d,ensemble_42_m^3/d,ensemble_43_m^3/d,ensemble_44_m^3/d,ensemble_45_m^3/d,ensemble_46_m^3/d,ensemble_47_m^3/d,ensemble_48_m^3/d,ensemble_49_m^3/d,ensemble_05_m^3/d,ensemble_50_m^3/d,ensemble_51_m^3/d,ensemble_06_m^3/d,ensemble_07_m^3/d,ensemble_08_m^3/d,ensemble_09_m^3/d,flow_max_m^3/d,flow_75%_m^3/d,flow_avg_m^3/d,flow_25%_m^3/d,flow_min_m^3/d
2024-09-20,2121702.714,2126979.1836,2141220.582,2092159.6379999998,2085026.4864,2086821.4032,2073052.8720000002,2095159.1112000002,2103684.9984,2087320.8816,2091948.6059999997,2111349.726,2138511.0132,2107570.0068,2124049.2732,2095670.5236,2109375.2484,2094813.7703999998,2088481.6008,2123863.0488,2108709.558,2108500.524,2122080.2064,2109637.4508,2091068.4167999998,2112865.236,2116328.0616,2085371.2547999998,2081886.4836,2136712.8024,2099790.4104,2105077.2912,2115169.0272,2107937.3688000003,2076472.4003999997,2106078.8508,2102605.7868,2109769.3836000003,2126601.7668000003,2114329.068,2096447.724,2145648.1176,2109811.6872,2101305.2399999998,2115155.3004,2121925.4316,2094199.6283999998,2095262.3808,2102965.254,2121216.5195999998,2098695.852,2215422.6624,2117821.4532000003,16853080.665599998,2093647.3596,2038434.9408
2024-09-21,2305885.914,2263116.9312000005,2197766.2824,2142840.8952,2238060.7907999996,2161372.1832,2102784.7212,2162422.2240000004,2174219.2476,2113241.2272,2138101.6392,2185986.2472,2231085.9564,2169317.3976,2227553.3952,2139928.6104,2194941.9636,2123463.9024,2109304.5516,2239841.7648,2151674.2476,2187250.2035999997,2233552.3524,2214552.8952,2149500.348,2254746.24,2257696.1736000003,2107424.1852,2122441.0127999997,2220739.5456,2150715.3912,2141801.2547999998,2219140.1196,2182458.7512,2096381.0016,2204286.7824,2109709.7028,2148827.4864,2228849.7624,2143903.5396000003,2572529.328,2313372.42,2159213.4576000003,2137592.6459999997,2173761.4896,2214092.5992,2183104.2996,2156928.318,2161447.5564,2279244.1607999997,2161948.1688,2882380.032,2221603.4808,17515313.424000002,2142579.2652000003,2039226.2784
2024-09-22,2080134.5724,1669359.5694000002,1666347.7463999998,1839523.662,1798781.1912,1898922.1283999998,1798504.5816000002,1995686.0676000002,1835796.96,1650086.0351999998,1726610.5476000002,1941888.9671999998,1982691.1836,1632555.702,1946548.0115999999,1629329.4072000002,2000838.9636,1835181.7488,1817857.9548,2024443.9836000004,1799546.7816,1914416.0784,2032845.5196000002,1830650.3712,1868224.4784,1893567.2832000002,2017371.2471999999,1585478.1024,1799655.678,1972559.8007999999,1855935.1152,1909835.4204000002,1925785.2924,1832985.2016000003,1629267.534,1797606.5076000001,1792008.6948000002,1621386.396,2002282.8912,1854193.5935999998,2337069.996,2050995.0384,1938629.808,1899326.8368,1757753.5356,1890402.1164,1773051.0012,1893074.5116000003,1818965.7972000001,2121183.7956,1819709.2584000002,2755491.8688000003,1946305.3788,14903034.8256,1796292.8280000002,1246387.0895999998
2024-09-23,1735630.2000000002,1038750.7932,1219014.7920000001,1437364.2456,1421469.3348,1589405.1552,1417700.0484,1657002.8628000002,1484055.6912,1154690.8776,1232956.7982,1722304.458,1605308.9328,1145820.276,1528652.79,1136839.9626,1688154.7284,1458822.0744,1429155.6516,1692807.4656000002,1433137.3524,1633646.6424000002,1774934.8236,1437289.0992,1514994.57,1505279.4732,1614993.1955999997,1098224.784,1399388.4216,1395797.3352,1509970.9392,1554562.746,1582894.2563999998,1446161.2667999999,1163976.7662,1391111.1828,1359115.3728,1108210.4964,1701258.6168,1522708.9344000001,1780600.3631999998,1673964.792,1602160.6788,1476927.4967999998,1447212.0312,1582894.872,1357451.4492000001,1497697.5924,1482684.0372000001,1659708.0684000002,1431975.8988,1884866.6304,1600606.3752000001,11754797.932799999,1396284.9552,921254.6015999999
2024-09-24,1559829.0203999998,835707.9258,1125581.9346,1303530.8508,1230211.9836,1478444.8644,1188994.1076,1509933.0744,1344823.0362,945028.5984,1013957.4276,1796726.9231999998,1406604.4848,998165.2679999999,1300263.894,961228.89,1597872.8195999998,1339998.0444,1286041.8708,1530441.4428,1303326.3096,1578557.322,1817455.8384,1299216.6612,1431167.7888,1363805.667,1449884.3724,952754.6052000001,1271357.694,1215640.008,1443995.5968,1371214.1376,1403983.7028,1387026.8172,963079.3458,1252804.5468,1121474.592,974298.3263999999,1528768.9116,1557770.4108000002,1731905.28,1559378.2932,1436535.108,1342466.4653999999,1412611.1099999999,1499232.8124,1216546.398,1269351.3887999998,1400169.8664,1628719.6283999998,1308098.7216,1873056.6144000003,1488205.9368,10705252.2912,1224970.5924,775257.6096000001
2024-09-25,1416297.1823999998,729023.26968,1112700.7098,1226017.512,1123395.3504,1403577.9252,1014833.5668,1426374.954,1249941.8556,799103.0052,907433.3123999999,1910766.8879999998,1278920.9286,939317.6015999999,1162162.3338,878582.8242,1492558.3476,1286274.303,1213745.5962,1409482.3608,1229822.028,1524503.8836,1925301.7008000002,1258855.3872,1400884.2432,1317754.7316,1430494.5276,909184.3434000001,1238780.7792,1116793.5750000002,1415764.2348,1254227.598,1279871.5068,1408049.8488,845506.0205999999,1159383.51,1008796.8528,922036.5216,1392734.9952,1585745.6616,1706962.8096,1475184.0852,1331187.696,1318534.8264,1339661.268,1356193.2708,1139026.6601999998,1144433.1456,1434295.3068,1665332.0496,1214534.9627999999,1970105.5008,1415278.548,10153780.6176,1131630.1128,687434.39424
2024-09-26,1349545.752,663367.6418399999,1077572.0304,1187636.5584,1066653.1008,1348312.716,938879.8776,1406159.9135999999,1193988.8376,747113.112,855746.7048,2023251.3287999998,1200795.7752,907380.3816,1080975.6288,855488.2608,1428938.0856,1232979.2999999998,1167446.6496,1349769.528,1189310.148,1470821.0472000001,1966689.4823999999,1356029.2944,1420148.5272000001,1350908.928,1410152.5872,894206.196,1224805.4496,1087240.5792,1396680.1272,1210549.0176000001,1206318.744,1403244.0864,819493.8912000001,1115258.0256,1004386.1976,871804.5119999999,1327792.8024,1579413.3624,1677055.0608,1445733.3384,1244411.8560000001,1600765.8264000001,1284998.8392,1273576.4136,1081026.3456000001,1073690.4564,1401861.1247999999,1684736.1288,1192556.8332,2036208.6719999998,1401350.7384,4968444.614399999,1078540.3908000002,646579.01376
2024-09-27,1289740.9679999999,927331.5996000001,1068861.096,1143452.0628,1077089.8968,1310280.84,1171501.3692,1383844.2948,1153719.6876000003,703375.218,840463.0199999999,2131713.6336000003,1154709.756,885494.2788,1178032.3344,831916.6776,1374359.6591999999,1190022.57,1228655.9736,1315812.6971999998,1148870.8224,1432039.2624000001,1954831.9896000002,1510527.96,1370574.0864,1553825.4084,1401902.316,876352.8024,1191231.6408000002,1088678.9016,1495782.4392,1245997.404,1152455.3856,1385538.588,838532.412,1075422.366,1251442.0512,865124.3663999999,1281342.2292,1541031.1343999999,1645983.5039999997,1413825.1056000001,1198593.4824,3054240.3888,1241370.4463999998,1638533.9016,1034005.9319999999,1328382.2880000002,1334782.8864,1659468.3624,1224677.5128,4104320.0256,1396519.6608,5160450.4704,1104490.3176000002,657517.5216000001
2024-09-28,1269066.7008,2553163.5456,1080135.9504,1125605.808,1124874.648,1273070.6496000001,1384007.688,1370724.2280000001,1158814.1988,706380.264,821646.1584000001,2424805.3728,1198054.4652,860478.0444,1313988.4584,831766.1148000001,1351562.2956,1155110.3496,1357203.3624,1299324.456,1105966.3427999998,1415673.1152000001,1922754.8016,1823930.568,1369988.0784,3493837.4112,1518806.6352,871315.4232000001,1192166.5644,1078106.6196,1811681.5320000001,12035342.7936,1166416.3944,1387799.5896,888933.5496,1068524.0496,2862122.6664,812889.1728000001,1236773.9124,1529705.628,1611510.2711999998,1391520.3192,1255782.4416,5131774.1592,1298784.0564000001,3661164.0360000003,1165283.0424,1630500.6888,1301290.1424,1789089.12,1214980.668,18243082.656,1592134.0128,6878760.9695999995,1131179.7528,697945.3344
2024-09-29,1259860.6295999999,4037374.0872,1429916.8248,1103405.544,1142965.3608,1254430.8216,2045472.8472000002,1367069.832,1134153.792,697360.8276,833010.3936000001,3299258.412,1282826.3435999998,897007.6296000001,1340828.5968,821661.948,1327071.1464,1194910.1424,1505118.2832,1282761.7272,1158230.8368,1561314.8303999999,1907161.0272,2028066.2280000001,1542985.5024,5250792.6,1524563.0568,885819.51,1207264.824,1121206.104,1959658.2288000002,70853354.64,1500241.0896,1490997.5424,952263.54,1161066.9168,3225645.828,813813.8688,1217425.2048,1550126.916,1751584.2192,1445600.3472,1668942.2088000001,7120944.014400001,1336902.9588,5564722.6584,1237032.7776000001,1866479.3927999998,1287791.5032,1976322.3048,1471861.2384,126549656.63999999,1816732.6272,12462481.3248,1180596.708,694073.8368
